frame,time,hi,hi,Total Solar,+x,-x,+y,-y,RF,Clk,Batt Discharge,Batt V,H-Batt V,Batt Charge,Batt Temp,Baseplate Temp,PA Temp,+x F,+z F,5a,5b,5c,5d,6a,6b,6c,6d
0,0,hi,hi,383.5,10,-10,-10,-10,8.0,12.959999999999999,520,8.600000000000001,5.0,0.0,95.8,36.599999999999994,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
1,1,hi,hi,324.5,50,-10,-10,-10,8.0,13.2,520,8.600000000000001,5.0,0.0,95.8,36.599999999999994,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
2,2,hi,hi,383.5,130,-10,-10,-10,8.0,13.2,480,8.600000000000001,5.0,0.0,95.8,36.599999999999994,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
